日期,NTD/USD,Date,Close,Adj Close,Dividends,Stock Splits
20100629,32.279,2010-06-29,32.279,32.279,0,0
20100630,32.278,2010-06-30,32.278,32.278,0,0
20100701,32.297,2010-07-01,32.297,32.297,0,0
20100702,32.278,2010-07-02,32.278,32.278,0,0
20100705,32.22,2010-07-05,32.22,32.22,0,0
20100706,32.2,2010-07-06,32.2,32.2,0,0
20100707,32.22,2010-07-07,32.22,32.22,0,0
20100708,32.185,2010-07-08,32.185,32.185,0,0
20100709,32.125,2010-07-09,32.125,32.125,0,0
20100712,32.25,2010-07-12,32.25,32.25,0,0
20100713,32.3,2010-07-13,32.3,32.3,0,0
20100714,32.192,2010-07-14,32.192,32.192,0,0
20100715,32.187,2010-07-15,32.187,32.187,0,0
20100716,32.143,2010-07-16,32.143,32.143,0,0
20100719,32.155,2010-07-19,32.155,32.155,0,0
20100720,32.155,2010-07-20,32.155,32.155,0,0
20100721,32.15,2010-07-21,32.15,32.15,0,0
20100722,32.19,2010-07-22,32.19,32.19,0,0
20100723,32.152,2010-07-23,32.152,32.152,0,0
20100726,32.12,2010-07-26,32.12,32.12,0,0
20100727,32.09,2010-07-27,32.09,32.09,0,0
20100728,32.07,2010-07-28,32.07,32.07,0,0
20100729,32.068,2010-07-29,32.068,32.068,0,0
20100730,32.05,2010-07-30,32.05,32.05,0,0
20100802,31.868,2010-08-02,31.868,31.868,0,0
20100803,31.85,2010-08-03,31.85,31.85,0,0
20100804,31.87,2010-08-04,31.87,31.87,0,0
20100805,31.85,2010-08-05,31.85,31.85,0,0
20100806,31.819,2010-08-06,31.819,31.819,0,0
20100809,31.782,2010-08-09,31.782,31.782,0,0
20100810,31.855,2010-08-10,31.855,31.855,0,0
20100811,31.88,2010-08-11,31.88,31.88,0,0
20100812,31.99,2010-08-12,31.99,31.99,0,0
20100813,31.96,2010-08-13,31.96,31.96,0,0
20100816,32.01,2010-08-16,32.01,32.01,0,0
20100817,31.97,2010-08-17,31.97,31.97,0,0
20100818,31.966,2010-08-18,31.966,31.966,0,0
20100819,31.93,2010-08-19,31.93,31.93,0,0
20100820,31.935,2010-08-20,31.935,31.935,0,0
20100823,31.968,2010-08-23,31.968,31.968,0,0
20100824,32.08,2010-08-24,32.08,32.08,0,0
20100825,32.055,2010-08-25,32.055,32.055,0,0
20100826,32.037,2010-08-26,32.037,32.037,0,0
20100827,32.03,2010-08-27,32.03,32.03,0,0
20100830,32.06,2010-08-30,32.06,32.06,0,0
20100831,32.102,2010-08-31,32.102,32.102,0,0
20100901,32.075,2010-09-01,32.075,32.075,0,0
20100902,32.04,2010-09-02,32.04,32.04,0,0
20100903,32.018,2010-09-03,32.018,32.018,0,0
20100906,31.948,2010-09-06,31.948,31.948,0,0
20100907,32.016,2010-09-07,32.016,32.016,0,0
20100908,31.979,2010-09-08,31.979,31.979,0,0
20100909,31.939,2010-09-09,31.939,31.939,0,0
20100910,31.91,2010-09-10,31.91,31.91,0,0
20100913,31.85,2010-09-13,31.85,31.85,0,0
20100914,31.815,2010-09-14,31.815,31.815,0,0
20100915,31.798,2010-09-15,31.798,31.798,0,0
20100916,31.8,2010-09-16,31.8,31.8,0,0
20100917,31.739,2010-09-17,31.739,31.739,0,0
20100920,31.752,2010-09-20,31.752,31.752,0,0
20100921,31.765,2010-09-21,31.765,31.765,0,0
20100923,31.6,2010-09-23,31.6,31.6,0,0
20100924,31.62,2010-09-24,31.62,31.62,0,0
20100927,31.47,2010-09-27,31.47,31.47,0,0
20100928,31.5,2010-09-28,31.5,31.5,0,0
20100929,31.38,2010-09-29,31.38,31.38,0,0
20100930,31.33,2010-09-30,31.33,31.33,0,0
20101001,31.31,2010-10-01,31.31,31.31,0,0
20101004,31.25,2010-10-04,31.25,31.25,0,0
20101005,31.252,2010-10-05,31.252,31.252,0,0
20101006,31.132,2010-10-06,31.132,31.132,0,0
20101007,31.042,2010-10-07,31.042,31.042,0,0
20101008,31.095,2010-10-08,31.095,31.095,0,0
20101011,30.998,2010-10-11,30.998,30.998,0,0
20101012,31.07,2010-10-12,31.07,31.07,0,0
20101013,30.96,2010-10-13,30.96,30.96,0,0
20101014,30.77,2010-10-14,30.77,30.77,0,0
20101015,30.793,2010-10-15,30.793,30.793,0,0
20101018,30.885,2010-10-18,30.885,30.885,0,0
20101019,30.9,2010-10-19,30.9,30.9,0,0
20101020,30.93,2010-10-20,30.93,30.93,0,0
20101021,30.869,2010-10-21,30.869,30.869,0,0
20101022,30.91,2010-10-22,30.91,30.91,0,0
20101025,30.73,2010-10-25,30.73,30.73,0,0
20101026,30.76,2010-10-26,30.76,30.76,0,0
20101027,30.9,2010-10-27,30.9,30.9,0,0
20101028,30.824,2010-10-28,30.824,30.824,0,0
20101029,30.782,2010-10-29,30.782,30.782,0,0
20101101,30.695,2010-11-01,30.695,30.695,0,0
20101102,30.709,2010-11-02,30.709,30.709,0,0
20101103,30.65,2010-11-03,30.65,30.65,0,0
20101104,30.59,2010-11-04,30.59,30.59,0,0
20101105,30.56,2010-11-05,30.56,30.56,0,0
20101108,30.636,2010-11-08,30.636,30.636,0,0
20101109,30.63,2010-11-09,30.63,30.63,0,0
20101110,30.6,2010-11-10,30.6,30.6,0,0
20101111,30.532,2010-11-11,30.532,30.532,0,0
20101112,30.762,2010-11-12,30.762,30.762,0,0
20101115,30.732,2010-11-15,30.732,30.732,0,0
20101116,30.732,2010-11-16,30.732,30.732,0,0
20101117,30.793,2010-11-17,30.793,30.793,0,0
20101118,30.733,2010-11-18,30.733,30.733,0,0
20101119,30.673,2010-11-19,30.673,30.673,0,0
20101122,30.628,2010-11-22,30.628,30.628,0,0
20101123,30.799,2010-11-23,30.799,30.799,0,0
20101124,30.8,2010-11-24,30.8,30.8,0,0
20101125,30.8,2010-11-25,30.8,30.8,0,0
20101126,30.83,2010-11-26,30.83,30.83,0,0
20101129,30.8,2010-11-29,30.8,30.8,0,0
20101130,30.85,2010-11-30,30.85,30.85,0,0
20101201,30.852,2010-12-01,30.852,30.852,0,0
20101202,30.788,2010-12-02,30.788,30.788,0,0
20101203,30.745,2010-12-03,30.745,30.745,0,0
20101206,30.625,2010-12-06,30.625,30.625,0,0
20101207,30.63,2010-12-07,30.63,30.63,0,0
20101208,30.706,2010-12-08,30.706,30.706,0,0
20101209,30.555,2010-12-09,30.555,30.555,0,0
20101210,30.585,2010-12-10,30.585,30.585,0,0
20101213,30.6,2010-12-13,30.6,30.6,0,0
20101214,30.45,2010-12-14,30.45,30.45,0,0
20101215,30.5,2010-12-15,30.5,30.5,0,0
20101216,30.545,2010-12-16,30.545,30.545,0,0
20101217,30.51,2010-12-17,30.51,30.51,0,0
20101220,30.601,2010-12-20,30.601,30.601,0,0
20101221,30.6,2010-12-21,30.6,30.6,0,0
20101222,30.605,2010-12-22,30.605,30.605,0,0
20101223,30.485,2010-12-23,30.485,30.485,0,0
20101224,30.485,2010-12-24,30.485,30.485,0,0
20101227,30.425,2010-12-27,30.425,30.425,0,0
20101228,30.396,2010-12-28,30.396,30.396,0,0
20101229,30.367,2010-12-29,30.367,30.367,0,0
20101230,30.217,2010-12-30,30.217,30.217,0,0
20101231,30.368,2010-12-31,30.368,30.368,0,0
20110103,30.2,2011-01-03,30.2,30.2,0,0
20110104,30.201,2011-01-04,30.201,30.201,0,0
20110105,30.211,2011-01-05,30.211,30.211,0,0
20110106,30.101,2011-01-06,30.101,30.101,0,0
20110107,29.8,2011-01-07,29.8,29.8,0,0
20110110,29.8,2011-01-10,29.8,29.8,0,0
20110111,29.7,2011-01-11,29.7,29.7,0,0
20110112,29.6,2011-01-12,29.6,29.6,0,0
20110113,29.605,2011-01-13,29.605,29.605,0,0
20110114,29.6,2011-01-14,29.6,29.6,0,0
20110117,29.5,2011-01-17,29.5,29.5,0,0
20110118,29.45,2011-01-18,29.45,29.45,0,0
20110119,29.45,2011-01-19,29.45,29.45,0,0
20110120,29.46,2011-01-20,29.46,29.46,0,0
20110121,29.42,2011-01-21,29.42,29.42,0,0
20110124,29.32,2011-01-24,29.32,29.32,0,0
20110125,29.29,2011-01-25,29.29,29.29,0,0
20110126,29.3,2011-01-26,29.3,29.3,0,0
20110127,29.31,2011-01-27,29.31,29.31,0,0
20110128,29.28,2011-01-28,29.28,29.28,0,0
20110131,29.3,2011-01-31,29.3,29.3,0,0
20110201,29.2,2011-02-01,29.2,29.2,0,0
20110208,29.16,2011-02-08,29.16,29.16,0,0
20110209,29.1,2011-02-09,29.1,29.1,0,0
20110210,29.12,2011-02-10,29.12,29.12,0,0
20110211,29.23,2011-02-11,29.23,29.23,0,0
20110214,29.329,2011-02-14,29.329,29.329,0,0
20110215,29.469,2011-02-15,29.469,29.469,0,0
20110216,29.47,2011-02-16,29.47,29.47,0,0
20110217,29.432,2011-02-17,29.432,29.432,0,0
20110218,29.408,2011-02-18,29.408,29.408,0,0
20110221,29.366,2011-02-21,29.366,29.366,0,0
20110222,29.557,2011-02-22,29.557,29.557,0,0
20110223,29.572,2011-02-23,29.572,29.572,0,0
20110224,29.76,2011-02-24,29.76,29.76,0,0
20110225,29.754,2011-02-25,29.754,29.754,0,0
20110301,29.66,2011-03-01,29.66,29.66,0,0
20110302,29.665,2011-03-02,29.665,29.665,0,0
20110303,29.542,2011-03-03,29.542,29.542,0,0
20110304,29.462,2011-03-04,29.462,29.462,0,0
20110307,29.426,2011-03-07,29.426,29.426,0,0
20110308,29.437,2011-03-08,29.437,29.437,0,0
20110309,29.395,2011-03-09,29.395,29.395,0,0
20110310,29.506,2011-03-10,29.506,29.506,0,0
20110311,29.599,2011-03-11,29.599,29.599,0,0
20110314,29.509,2011-03-14,29.509,29.509,0,0
20110315,29.559,2011-03-15,29.559,29.559,0,0
20110316,29.556,2011-03-16,29.556,29.556,0,0
20110317,29.574,2011-03-17,29.574,29.574,0,0
20110318,29.6,2011-03-18,29.6,29.6,0,0
20110321,29.572,2011-03-21,29.572,29.572,0,0
20110322,29.542,2011-03-22,29.542,29.542,0,0
20110323,29.585,2011-03-23,29.585,29.585,0,0
20110324,29.583,2011-03-24,29.583,29.583,0,0
20110325,29.488,2011-03-25,29.488,29.488,0,0
20110328,29.499,2011-03-28,29.499,29.499,0,0
20110329,29.477,2011-03-29,29.477,29.477,0,0
20110330,29.51,2011-03-30,29.51,29.51,0,0
20110331,29.418,2011-03-31,29.418,29.418,0,0
20110401,29.32,2011-04-01,29.32,29.32,0,0
20110406,29.15,2011-04-06,29.15,29.15,0,0
20110407,29.05,2011-04-07,29.05,29.05,0,0
20110408,28.991,2011-04-08,28.991,28.991,0,0
20110411,28.992,2011-04-11,28.992,28.992,0,0
20110412,29.112,2011-04-12,29.112,29.112,0,0
20110413,29.089,2011-04-13,29.089,29.089,0,0
20110414,29.041,2011-04-14,29.041,29.041,0,0
20110415,29.05,2011-04-15,29.05,29.05,0,0
20110418,29.089,2011-04-18,29.089,29.089,0,0
20110419,29.125,2011-04-19,29.125,29.125,0,0
20110420,29.025,2011-04-20,29.025,29.025,0,0
20110421,28.926,2011-04-21,28.926,28.926,0,0
20110422,28.93,2011-04-22,28.93,28.93,0,0
20110425,28.93,2011-04-25,28.93,28.93,0,0
20110426,28.939,2011-04-26,28.939,28.939,0,0
20110427,28.9,2011-04-27,28.9,28.9,0,0
20110428,28.76,2011-04-28,28.76,28.76,0,0
20110429,28.762,2011-04-29,28.762,28.762,0,0
20110503,28.702,2011-05-03,28.702,28.702,0,0
20110504,28.67,2011-05-04,28.67,28.67,0,0
20110505,28.632,2011-05-05,28.632,28.632,0,0
20110506,28.778,2011-05-06,28.778,28.778,0,0
20110509,28.75,2011-05-09,28.75,28.75,0,0
20110510,28.725,2011-05-10,28.725,28.725,0,0
20110511,28.65,2011-05-11,28.65,28.65,0,0
20110512,28.793,2011-05-12,28.793,28.793,0,0
20110513,28.788,2011-05-13,28.788,28.788,0,0
20110516,28.888,2011-05-16,28.888,28.888,0,0
20110517,28.865,2011-05-17,28.865,28.865,0,0
20110518,28.85,2011-05-18,28.85,28.85,0,0
20110519,28.852,2011-05-19,28.852,28.852,0,0
20110520,28.78,2011-05-20,28.78,28.78,0,0
20110523,29.009,2011-05-23,29.009,29.009,0,0
20110524,28.93,2011-05-24,28.93,28.93,0,0
20110525,29.009,2011-05-25,29.009,29.009,0,0
20110526,28.945,2011-05-26,28.945,28.945,0,0
20110527,28.888,2011-05-27,28.888,28.888,0,0
20110530,28.83,2011-05-30,28.83,28.83,0,0
20110531,28.772,2011-05-31,28.772,28.772,0,0
20110601,28.7,2011-06-01,28.7,28.7,0,0
20110602,28.785,2011-06-02,28.785,28.785,0,0
20110603,28.75,2011-06-03,28.75,28.75,0,0
20110607,28.735,2011-06-07,28.735,28.735,0,0
20110608,28.72,2011-06-08,28.72,28.72,0,0
